Núñez   ,Lozano,Marcos Antonio ,Marcos Núñez,44,,,,,,Isidora Núñez Figueroa; Francisco Núñez Figueroa; ,,,,,,
Ojeda  ,Uribe,Sergio  ,Sergio Ojeda,44,,,,,,,,,,,,
Ortiz   ,Novoa,José Miguel ,José Ortiz,44,,,,,,,,,,,,
Pacheco  ,Rivas,Clemira Hugolina ,Clemira Pacheco,44,,,,,,,,,,,,
Pascal  ,Allende,Denise  ,Denise Pascal,44,,,,Gastón Pascal Lyon,Laura Allende Gossens,Alejandra Chadwick Pascal; Jorge Chadwick Pascal; ,Salvador Allende,, Isabel Allende,,Andrés Pascal Allende;,
Pérez  ,Arriagada,José  ,José Pérez,44,,,,Fernando Pérez Álvarez ,Laura Arriagada Novoa,Lorena Pérez Larenas; José Luis Pérez Larenas;,,,,,,
Pérez  ,Lahsen,Leopoldo Alfredo ,Leopoldo Pérez,44,,,,Leopoldo Pérez Bobadilla,Elena Lahsen Azar,Daniela Paz Pérez Le Roy; Leopoldo Ignacio Pérez Le Roy;,,,,,,
Recondo  ,Lavanderos,Carlos Eduardo ,Carlos Recondo,44,,,,,,Carlos Eduardo Recondo Said; Rosario Andrea Recondo Said; Consuelo Loreto Recondo Said; ,,,,,,
Rincón  ,González,Ricardo Enrique ,Ricardo Rincón,44,,,,Ricardo Rincón Iglesias,Luisa González Cofré,,,,,,Ximena Rincón González; Mónica Rincón González;,
Rivas  ,Sánchez,Gaspar Alberto ,Gaspar Rivas,44,,,,Gaspar Rivas Schulz,Virginia Sánchez Zañartu,,,,,,María Virginia Rivas Sánchez;,
Robles  ,Pantoja,Alberto Iván Francisco,Alberto Robles,44,,,,,,Andrés Francisco Robles Rebolledo; Paz Alejandra Robles Rebolledo; Nicolás Alberto Robles Rebolledo; Rodrigo Iván Robles Rebolledo;,,,,,,
Rojas  ,Molina,Manuel Ernesto ,Manuel Rojas,44,,,,,,,,,,,,
Rubilar  ,Barahona,Karla Elizabeth ,Karla Rubilar,44,,,,Patricio Rubilar,Vicky Barahona,Patricio Cadis Rubilar;Laura Malvoa Rubilar;,,,,,,
Saa   ,Díaz,María Antonieta ,María Antonieta Saa,44,,,,Raúl Saa,María Antonieta Díaz. ,,,,,,,
Sabag  ,Villalobos,Jorge Eduardo ,Jorge Sabag,44,,,,Hosain Sabag Castillo,Fresia Villalobos Rojas,María Monserrat Sabag Brito; Trinidad María Sabag Brito; Luzmaría Asunción Sabag Brito; Teresita María Jesús Sabag Brito;,Hasan Sabag Castillo,,,,Patricio Hosain Sabag Villalobos; Gloria Sabag Villalobos;,
Sabat  ,Fernández,Marcela Constanza ,Marcela Sabat,44,,,,Pedro Sabat,Marcela Fernández. ,,,,,,,
Saffirio  ,Espinoza,René Fernando ,René Saffirio  ,44,,,,Constantino Saffirio Vásquez,Lya Espinoza Sánchez,Rodrigo Saffirio López; Constanza Saffirio López;,,,Eduardo Saffirio Suárez,,Jorge Saffirio Espinoza,
Salaberry  ,Soto,Felipe  ,Felipe Salaberry,44,,,,,,Isidora Salaberry Pavone; Santiago Salaberry Pavone; Antonia Salaberry Pavone;,,,,,,
Sandoval  ,Plaza,David  ,David Sandoval,44,,,,David Sandoval Albarrán,Ana Plaza Guzmán,Andrés Sandoval Acuña; Pamela Sandoval Acuña; Lucas Sandoval Acuña; ,,,,,,
Santana  ,Tirachini,Alejandro  ,Alejandro Santana,44,,,,Bladimiro Santana,Oriana Tirachini,Belén Santana Queirolo; Benjamín Santana Queirolo; Bernardita Santana Queirolo;,,,,,,
Sauerbaum  ,Muñoz,Frank Carlos ,Frank Sauerbaum  ,44,,,,Alberto Sauerbaum,Gabriela Muñoz,,,,,,,
Schilling  ,Rodríguez,Marcelo Gastón ,Marcelo Schilling  ,44,,,,,,Miguel Enrique Schilling Morras;,,,,,,
Sepúlveda  ,Orbenes,Alejandra  ,Alejandra Sepúlveda  ,44,,,,,,,,,,,,
Silber  ,Romo,Gabriel  ,Gabriel Silber  ,44,,,,Jaime Silber Merener,Carmen Romo Sepúlveda,,,,,,,
Silva,Méndez,Ernesto  ,Ernesto Silva,44,,,,Ernesto Silva Bufallay ,María Cristina Méndez Ureta,María Gracia Silva Álamos; Catalina Silva Álamos; Ernesto Silva Álamos;,,,,,,
Squella  ,Ovalle,Arturo  ,Arturo Squella,44,,,,Arturo Squella Serrano,María Beatriz Ovalle Del Pedregal,,,,,,,
Tarud  ,Daccarett,Jorge  ,Jorge Tarud,44,,,,Rafael Tarud Siwady,Helene Daccarett Mobarec,Jean Paul Tarud Kuborn; Christopher Tarud Kuborn;  ,,,,,,
Teillier,Del Valle,Guillermo León ,Guillermo Teillier,44,,,,León Teillier,Guillermina del Valle,Fernando Teillier; Lorena Teillier; Pablo Teillier,,,Jorge Teillier Sandoval,,,
Torres  ,Jeldes,Víctor Marcelo ,Víctor Torres,44,,,,Víctor Hugo Torres Ruz,María Isabel Jeldes Castro,Sofía Torres Guinart,,,,,,
Tuma  ,Zedan,Joaquín  ,Joaquín Tuma,44,,,, Juan Tuma Masso,María Zedan Bulos,,,,,,Eugenio Tuma Zedan;,
Turres  ,Figueroa,Marisol  ,Marisol Turres,44,,,,,,,,,,,,
Ulloa  ,Aguillón,Jorge Iván ,Jorge Ulloa,44,,,,,,,,,,,,
Letelier  ,Aguilar,Cristian Omar ,Cristian Letelier,44,,,,,,,,,,,,
Urrutia  ,Bonilla,Ignacio  ,Ignacio Urrutia ,44,,,, Ignacio Urrutia del Río,Rebeca Bonilla,,,,, Ignacio Urrutia de la Sotta,,
Vallespín  ,López,Patricio Iván ,Patricio Vallespín ,44,,,,,,Rocío Vallespín; Fabián Vallespín;,,,,,,
Van Rysselberghe  ,Herrera,Enrique  ,Enrique Van Rysselberghe,44,,,,Enrique Van Rysselberghe Varela,María Norma Herrera Caire,,,,,Enrique van Rysselberghe Martínez,Jacqueline van Rysselberghe;,
Vargas  ,Pizarro,Orlando Severo ,Orlando Vargas,44,,,,,,,,,,,,
Velásquez  ,Seguel,Pedro Antonio ,Pedro Velásquez,44,,,,Ramón Velásquez Tabilo ,Rosa Elvira Seguel,Felipe Velásquez Navea; Rocío Velásquez Navea,,,,,Ramón Velásquez;,
Venegas  ,Cárdenas,Mario Artidorio ,Mario Venegas,44,,,,,,,,,,,,
Verdugo  ,Soto,José Germán ,José Verdugo ,44,,,,,,,,,,,,
Vidal  ,Lázaro,Ximena Leonor ,Ximena Vidal,44,,,,,,,,,,,,
Vilches  ,Guzmán,Carlos Alfredo ,Carlos Vilches,44,,,,,,,,,,,,
Von Mühlenbrock  ,Zamora,Gastón  ,Gastón Von Mühlenbrock,44,,,,,,Astrid Von Mühlenbrock Schlatter; Sven Von Mühlenbrock Schlatter;,,,,,,
Walker  ,Prieto,Matías  ,Matías Walker,44,,,,Ignacio Walker Concha,Isabel Margarita Prieto,Matías Walker Fanjuly; Lucas  Walker Fanjul;,,,,,Ignacio Walker Prieto; Patricio Walker Prieto;,
Ward ,Edwards,Felipe Andrés ,Felipe Ward,44,,,,Carlos Ward Duncan,María Teresa Edwards,,,,,,Carlos Ward Edwards;,
Zalaquett  ,Said,Mónica Beatriz ,Mónica Zalaquett,44,,,,Antonio Zalaquett,Beatriz Said,Nicole Garafulic Zalaquett; Diego Garafulic Zalaquett; Tomás Garafulic Zalaquett; Matías Garafulic Zalaquett;,,,,,Pablo Zalaquett Said;,
